text,tdate,key
"Tue Oct  1 14:55:38 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Successful (54 bytes - 5s).",2013-10-01 12:55:44,4659094623354880
"Sun Sep 22 12:57:09 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Successful (55 bytes - 5s).",2013-09-22 10:57:15,4659386681131008
"Sat Sep 14 13:07:28 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Successful (55 bytes - 5s).",2013-09-14 11:07:46,4660554912235520
"Mon Sep 30 06:46:39 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Unsuccessful.",2013-09-30 04:46:43,4665004498354176
"Sat Sep 28 10:49:57 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (54 bytes - 5s).",2013-09-28 08:50:02,4665554254168064
"Sun Sep 22 14:54:13 2013
 (Rwanda).successful (3s) - GSM (2G). Registered on Home Network (-69dbm). Successful (56 bytes - 10s).",2013-09-22 12:54:19,4665846311944192
"Wed Oct  2 18:59:09 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Unsuccessful.",2013-10-02 16:59:17,4666447607365632
"Sat Sep 21 13:40:02 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Successful (54 bytes - 4s).",2013-09-21 11:40:06,4667907896246272
"Mon Sep 16 06:36:17 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-77dbm). Successful (54 bytes - 4s).",2013-09-16 04:36:23,4669213566304256
"Mon Sep 30 09:37:02 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Unsuccessful.",2013-09-30 07:37:07,4670398977277952
"Mon Sep  9 16:57:33 2013
 (Rwanda).successful (4s) - UMTS (3G). Registered on Home Network (-113dbm). Successful (50 bytes - 6s).",2013-09-09 14:57:37,4670450516885504
"Thu Sep 26 11:54:42 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (56 bytes - 4s).",2013-09-26 09:54:47,4673852130983936
"Wed Sep 11 15:39:22 2013
 (Rwanda).successful (4s) - UMTS (3G). Registered on Home Network (-107dbm). Successful (54 bytes - 7s).",2013-09-11 13:39:35,4674436246536192
